2016-10-14 16:39:58.710 ; TestPlan      ; Information ; "Delay" completed. [1007 ms]
2016-10-14 16:39:58.711 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-14 16:39:59.714 ; TestPlan      ; Information ; "Delay (1)" completed. [1003 ms]
2016-10-14 16:39:59.714 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-14 16:39:59.716 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [1 ms]
2016-10-14 16:39:59.716 ; TestPlan      ; Information ; TestPlan Run finished. [2019 ms]
2016-10-14 16:39:59.720 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-14 16:39:59.720 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-14 16:39:59.720 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-14 16:40:23.623 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:40:23.641 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:40:23.694 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [57 ms]
2016-10-14 16:40:23.704 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-14 16:40:23.724 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/14/2016 4:40:23 PM, 3 of 3 TestSteps enabled.
2016-10-14 16:40:23.724 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.736 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.737 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.737 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.741 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.744 ; Settings      ; Debug       ; No settings file exists for GuiControlsSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.744 ; Settings      ; Debug       ; No settings file exists for GuiSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:23.814 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-14 16:40:23.814 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-14 16:40:23.814 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
